Entity,Code,Day,total_vaccinations_per_hundred
Afghanistan,AFG,22-02-2021,0
Afghanistan,AFG,28-02-2021,0.02
Afghanistan,AFG,16-03-2021,0.14
Afghanistan,AFG,07-04-2021,0.3
Afghanistan,AFG,22-04-2021,0.6
Afghanistan,AFG,11-05-2021,1.27
Afghanistan,AFG,20-05-2021,1.38
Afghanistan,AFG,24-05-2021,1.44
Afghanistan,AFG,26-05-2021,1.48
Afghanistan,AFG,27-05-2021,1.49
Afghanistan,AFG,30-05-2021,1.51
Afghanistan,AFG,02-06-2021,1.57
Afghanistan,AFG,03-06-2021,1.58
Afghanistan,AFG,08-06-2021,1.61
Afghanistan,AFG,14-06-2021,1.66
Afghanistan,AFG,22-06-2021,1.92
Afghanistan,AFG,27-06-2021,2.1
Afghanistan,AFG,30-06-2021,2.23
Afghanistan,AFG,05-07-2021,2.3
Afghanistan,AFG,07-07-2021,2.35
Afghanistan,AFG,11-07-2021,2.42
Afghanistan,AFG,14-07-2021,2.57
Afghanistan,AFG,18-07-2021,2.75
Afghanistan,AFG,24-07-2021,2.94
Afghanistan,AFG,20-08-2021,3.02
Afghanistan,AFG,31-08-2021,4.97
Afghanistan,AFG,16-09-2021,7.87
Africa,,09-01-2021,0
Africa,,13-01-2021,0
Africa,,15-01-2021,0
Africa,,16-01-2021,0
Africa,,19-01-2021,0
Africa,,20-01-2021,0
Africa,,22-01-2021,0
Africa,,23-01-2021,0
Africa,,24-01-2021,0
Africa,,25-01-2021,0
Africa,,26-01-2021,0
Africa,,27-01-2021,0
Africa,,28-01-2021,0
Africa,,29-01-2021,0
Africa,,30-01-2021,0.01
Africa,,31-01-2021,0.01
Africa,,01-02-2021,0.02
Africa,,02-02-2021,0.02
Africa,,03-02-2021,0.03
Africa,,04-02-2021,0.03
Africa,,05-02-2021,0.03
Africa,,06-02-2021,0.04
Africa,,08-02-2021,0.04
Africa,,09-02-2021,0.05
Africa,,10-02-2021,0.06
Africa,,11-02-2021,0.07
Africa,,12-02-2021,0.08
Africa,,13-02-2021,0.11
Africa,,15-02-2021,0.13
Africa,,16-02-2021,0.14
Africa,,17-02-2021,0.16
Africa,,18-02-2021,0.17
Africa,,19-02-2021,0.18
Africa,,20-02-2021,0.19
Africa,,21-02-2021,0.19
Africa,,22-02-2021,0.2
Africa,,23-02-2021,0.21
Africa,,24-02-2021,0.23
Africa,,25-02-2021,0.25
Africa,,26-02-2021,0.27
Africa,,27-02-2021,0.28
Africa,,28-02-2021,0.28
Africa,,01-03-2021,0.3
Africa,,02-03-2021,0.31
Africa,,03-03-2021,0.32
Africa,,04-03-2021,0.33
Africa,,05-03-2021,0.35
Africa,,06-03-2021,0.37
Africa,,07-03-2021,0.37
Africa,,08-03-2021,0.39
Africa,,09-03-2021,0.4
Africa,,10-03-2021,0.43
Africa,,11-03-2021,0.44
Africa,,12-03-2021,0.46
Africa,,13-03-2021,0.49
Africa,,14-03-2021,0.5
Africa,,15-03-2021,0.52
Africa,,16-03-2021,0.54
Africa,,17-03-2021,0.56
Africa,,18-03-2021,0.57
Africa,,19-03-2021,0.59
Africa,,20-03-2021,0.6
Africa,,21-03-2021,0.6
Africa,,22-03-2021,0.61
Africa,,23-03-2021,0.62
Africa,,24-03-2021,0.69
